cell_x_m,cell_y_m,count
200727.66401520075,1749565.5185298186,3
212727.66401520075,1785565.5185298186,3
208727.66401520075,1755565.5185298186,3
208727.66401520075,1769565.5185298186,3
192727.66401520075,1757565.5185298186,3
203727.66401520075,1765565.5185298186,2
201727.66401520075,1759565.5185298186,2
191727.66401520075,1761565.5185298186,2
190727.66401520075,1751565.5185298186,2
190727.66401520075,1783565.5185298186,2
189727.66401520075,1760565.5185298186,2
201727.66401520075,1760565.5185298186,2
190727.66401520075,1782565.5185298186,2
205727.66401520075,1747565.5185298186,2
189727.66401520075,1758565.5185298186,2
214727.66401520075,1784565.5185298186,2
190727.66401520075,1775565.5185298186,2
212727.66401520075,1743565.5185298186,2
190727.66401520075,1772565.5185298186,2
194727.66401520075,1767565.5185298186,2
189727.66401520075,1749565.5185298186,2
190727.66401520075,1756565.5185298186,2
202727.66401520075,1761565.5185298186,2
211727.66401520075,1754565.5185298186,2
194727.66401520075,1773565.5185298186,2
190727.66401520075,1750565.5185298186,2
203727.66401520075,1764565.5185298186,2
207727.66401520075,1784565.5185298186,2
203727.66401520075,1759565.5185298186,2
189727.66401520075,1783565.5185298186,2
202727.66401520075,1750565.5185298186,2
202727.66401520075,1752565.5185298186,2
189727.66401520075,1779565.5185298186,2
206727.66401520075,1750565.5185298186,2
211727.66401520075,1747565.5185298186,2
209727.66401520075,1760565.5185298186,2
189727.66401520075,1769565.5185298186,2
189727.66401520075,1744565.5185298186,2
190727.66401520075,1748565.5185298186,2
202727.66401520075,1759565.5185298186,2
190727.66401520075,1786565.5185298186,2
189727.66401520075,1770565.5185298186,2
208727.66401520075,1746565.5185298186,2
195727.66401520075,1767565.5185298186,2
207727.66401520075,1764565.5185298186,2
193727.66401520075,1787565.5185298186,2
192727.66401520075,1787565.5185298186,2
195727.66401520075,1762565.5185298186,2
192727.66401520075,1786565.5185298186,2
193727.66401520075,1753565.5185298186,2
192727.66401520075,1752565.5185298186,2
192727.66401520075,1775565.5185298186,2
192727.66401520075,1772565.5185298186,2
210727.66401520075,1754565.5185298186,2
215727.66401520075,1753565.5185298186,2
196727.66401520075,1761565.5185298186,2
199727.66401520075,1768565.5185298186,2
196727.66401520075,1751565.5185298186,2
199727.66401520075,1766565.5185298186,2
199727.66401520075,1765565.5185298186,2
197727.66401520075,1764565.5185298186,2
213727.66401520075,1748565.5185298186,2
193727.66401520075,1762565.5185298186,2
195727.66401520075,1757565.5185298186,2
199727.66401520075,1752565.5185298186,2
198727.66401520075,1761565.5185298186,2
206727.66401520075,1760565.5185298186,2
199727.66401520075,1751565.5185298186,2
214727.66401520075,1744565.5185298186,2
214727.66401520075,1746565.5185298186,2
196727.66401520075,1763565.5185298186,2
191727.66401520075,1768565.5185298186,2
206727.66401520075,1755565.5185298186,2
193727.66401520075,1777565.5185298186,2
193727.66401520075,1773565.5185298186,2
196727.66401520075,1768565.5185298186,2
196727.66401520075,1746565.5185298186,2
196727.66401520075,1767565.5185298186,2
193727.66401520075,1786565.5185298186,2
208727.66401520075,1784565.5185298186,2
196727.66401520075,1766565.5185298186,2
197727.66401520075,1765565.5185298186,1
196727.66401520075,1753565.5185298186,1
190727.66401520075,1749565.5185298186,1
197727.66401520075,1761565.5185298186,1
205727.66401520075,1748565.5185298186,1
214727.66401520075,1752565.5185298186,1
209727.66401520075,1748565.5185298186,1
193727.66401520075,1761565.5185298186,1
195727.66401520075,1764565.5185298186,1
207727.66401520075,1747565.5185298186,1
190727.66401520075,1754565.5185298186,1
197727.66401520075,1773565.5185298186,1
